height,width,winCondition,withPruning,iteration1,iteration2,iteration3,cpu,,,,Memory
3,3,3,0,42.9116005897522,51.73690986633301,56.681254386901855,0,0,0,0,18.507638888888888
5,5,5,1,2.4701993465423584,2.766278028488159,4.790872573852539,0,0,0,0,27.939999999999998
6,6,5,1,13.254152774810791,16.596588611602783,14.062664031982422,0,0,0,0,37.81666666666666
7,7,5,1,83.17156982421875,65.51889157295227,57.479734659194946,0,0,0,0,45.92886597938145
5,5,5,0,8.781805038452148,8.185182094573975,13.723287105560303,0,0,0,0,39.196551724137926
6,6,5,0,44.70962691307068,44.9664580821991,43.2898805141449,0,0,0,0,57.98813559322032
7,7,5,0,182.4484510421753,181.32602953910828,146.26388216018677,0,0,0,0,77.54434782608699
5,5,5,1,27.84575343132019,39.407477617263794,45.0127592086792,0,0,0,0,32.250943396226404
6,6,5,1,203.59069967269897,318.215939283371,436.8724503517151,0,0,0,0,35.84413407821228
7,7,5,1,1922.2379887104034,905.8883585929871,991.8855390548706,0,0,0,0,47.84602903501282
